x_over_h,cf_dns_exactmatch
3.316406250000000000e+00,-3.155761532121075050e-03
3.328125000000000000e+00,-3.110294472499979240e-03
3.339843750000000000e+00,-3.068618130111823179e-03
3.351562500000000000e+00,-3.026440728565813615e-03
3.363281250000000000e+00,-2.991288070908078821e-03
3.375000000000000000e+00,-2.957032225216138337e-03
3.386718750000000000e+00,-2.928896959737931332e-03
3.398437500000000000e+00,-2.898117165861021499e-03
3.410156250000000000e+00,-2.870070893769933237e-03
3.421875000000000000e+00,-2.839202452298619436e-03
3.433593750000000000e+00,-2.812889523087497203e-03
3.445312500000000000e+00,-2.786365607963306283e-03
3.457031250000000000e+00,-2.765976643738074850e-03
3.468750000000000000e+00,-2.743712346828814513e-03
3.480468750000000000e+00,-2.723346947884060058e-03
3.492187500000000000e+00,-2.697938529725626196e-03
3.503906250000000000e+00,-2.673879945444955497e-03
3.515625000000000000e+00,-2.645143128358746782e-03
3.527343750000000000e+00,-2.617093952327028458e-03
3.539062500000000000e+00,-2.584619776291163969e-03
3.550781250000000000e+00,-2.556362220430617727e-03
3.562500000000000000e+00,-2.528707946897429653e-03
3.574218750000000000e+00,-2.507858176614580995e-03
3.585937500000000000e+00,-2.486788537461852126e-03
3.597656250000000000e+00,-2.469343370091035654e-03
3.609375000000000000e+00,-2.448433217156710875e-03
3.621093750000000000e+00,-2.428315342435610584e-03
3.632812500000000000e+00,-2.402515105559121372e-03
3.644531250000000000e+00,-2.377084745848769692e-03
3.656250000000000000e+00,-2.348032567472355461e-03
3.667968750000000000e+00,-2.322205656599584094e-03
3.679687500000000000e+00,-2.294297666014683771e-03
3.691406250000000000e+00,-2.269848932817212454e-03
3.703125000000000000e+00,-2.245035663993297237e-03
3.714843750000000000e+00,-2.225917548229127026e-03
3.726562500000000000e+00,-2.205242137000323899e-03
3.738281250000000000e+00,-2.186338102698046591e-03
3.750000000000000000e+00,-2.162907425332917695e-03
3.761718750000000000e+00,-2.139259838075920853e-03
3.773437500000000000e+00,-2.110433149107627387e-03
3.785156250000000000e+00,-2.083011507464804617e-03
3.796875000000000000e+00,-2.053833627429388093e-03
3.808593750000000000e+00,-2.029554577217301987e-03
3.820312500000000000e+00,-2.004013349392666076e-03
3.832031250000000000e+00,-1.979374768968147728e-03
3.843750000000000000e+00,-1.948933513380530060e-03
3.855468750000000000e+00,-1.917649635652477055e-03
3.867187500000000000e+00,-1.882025415705979900e-03
3.878906250000000000e+00,-1.848818545284169933e-03
3.890625000000000000e+00,-1.813698275845589082e-03
3.902343750000000000e+00,-1.780639700131905452e-03
3.914062500000000000e+00,-1.744737368178608805e-03
3.925781250000000000e+00,-1.711998832591835051e-03
3.937500000000000000e+00,-1.678292448916596236e-03
3.949218750000000000e+00,-1.648146325563468401e-03
3.960937500000000000e+00,-1.616926260420338806e-03
3.972656250000000000e+00,-1.589208999304391563e-03
3.984375000000000000e+00,-1.560440971126480841e-03
3.996093750000000000e+00,-1.534942578082320154e-03
4.007812500000000000e+00,-1.508362364575955000e-03
4.019531250000000000e+00,-1.485495725433705599e-03
4.031250000000000000e+00,-1.461029157776394137e-03
4.042968750000000000e+00,-1.438284129635965551e-03
4.054687500000000000e+00,-1.412584295419127460e-03
4.066406250000000000e+00,-1.388823460107912241e-03
4.078125000000000000e+00,-1.363496280751020371e-03
4.089843750000000000e+00,-1.341428718018917955e-03
4.101562500000000000e+00,-1.317903520954660096e-03
4.113281250000000000e+00,-1.295148903426909109e-03
4.125000000000000000e+00,-1.267596997505947374e-03
4.136718750000000000e+00,-1.240619179174092110e-03
4.148437500000000000e+00,-1.212275383998640248e-03
4.160156250000000000e+00,-1.186733094122316640e-03
4.171875000000000000e+00,-1.158053414647789011e-03
4.183593750000000000e+00,-1.129928595071525354e-03
4.195312500000000000e+00,-1.100111749326137351e-03
4.207031250000000000e+00,-1.074062139756511896e-03
4.218750000000000000e+00,-1.048455420394506753e-03
4.230468750000000000e+00,-1.026969671458877404e-03
4.242187500000000000e+00,-1.004612268546314306e-03
4.253906250000000000e+00,-9.840405687574715031e-04
4.265625000000000000e+00,-9.610668450518862179e-04
4.277343750000000000e+00,-9.383489134774761513e-04
4.289062500000000000e+00,-9.109603644867464954e-04
4.300781250000000000e+00,-8.828305673861710622e-04
4.312500000000000000e+00,-8.518183715972945562e-04
4.324218750000000000e+00,-8.229827886523490357e-04
4.335937500000000000e+00,-7.935526219527861422e-04
4.347656250000000000e+00,-7.679233067491458321e-04
4.359375000000000000e+00,-7.426950230196975068e-04
4.371093750000000000e+00,-7.195346707475154448e-04
4.382812500000000000e+00,-6.938214555954491268e-04
4.394531250000000000e+00,-6.688559943118448743e-04
4.406250000000000000e+00,-6.411074820887417832e-04
4.417968750000000000e+00,-6.138271213518789069e-04
4.429687500000000000e+00,-5.836252750993218457e-04
4.441406250000000000e+00,-5.547303677978209771e-04
4.453125000000000000e+00,-5.255564424144705581e-04
4.464843750000000000e+00,-5.005151669212342010e-04
4.476562500000000000e+00,-4.766967584249016889e-04
4.488281250000000000e+00,-4.560831604026831915e-04
4.500000000000000000e+00,-4.351466311743092943e-04
4.511718750000000000e+00,-4.172003387976972030e-04
4.523437500000000000e+00,-3.980105995543780609e-04
4.535156250000000000e+00,-3.787584872098654775e-04
4.546875000000000000e+00,-3.559399750607702387e-04
4.558593750000000000e+00,-3.323783980895724638e-04
4.570312500000000000e+00,-3.048516193083565225e-04
4.582031250000000000e+00,-2.767255231315402203e-04
4.593750000000000000e+00,-2.468778751029071321e-04
4.605468750000000000e+00,-2.206143283659307722e-04
4.617187500000000000e+00,-1.969124016597769864e-04
4.628906250000000000e+00,-1.776183368220074249e-04
4.640625000000000000e+00,-1.577623379880660676e-04
4.652343750000000000e+00,-1.387843134170344906e-04
4.664062500000000000e+00,-1.184794559591550235e-04
4.675781250000000000e+00,-9.963113842141867746e-05
4.687500000000000000e+00,-7.912677483249817183e-05
4.699218750000000000e+00,-5.807414651707389118e-05
4.710937500000000000e+00,-3.288893414620478069e-05
4.722656250000000000e+00,-6.875526302163556534e-06
4.734375000000000000e+00,2.040522478915939543e-05
4.746093750000000000e+00,4.584244965039005481e-05
4.757812500000000000e+00,7.155677724978219917e-05
4.769531250000000000e+00,9.537919223096039372e-05
4.781250000000000000e+00,1.194179123615716803e-04
4.792968750000000000e+00,1.412180983182980581e-04
4.804687500000000000e+00,1.629808190168619952e-04
4.816406250000000000e+00,1.836165556918312528e-04
4.828125000000000000e+00,2.066720334422323302e-04
4.839843750000000000e+00,2.311584321664844545e-04
4.851562500000000000e+00,2.589623411509561226e-04
4.863281250000000000e+00,2.865672572286240847e-04
4.875000000000000000e+00,3.135946564617121310e-04
4.886718750000000000e+00,3.368728222870943684e-04
4.898437500000000000e+00,3.586896627586805991e-04
4.910156250000000000e+00,3.783999123191692329e-04
4.921875000000000000e+00,3.980506034200127405e-04
4.933593750000000000e+00,4.162541735045493401e-04
4.945312500000000000e+00,4.352828834390482047e-04
4.957031250000000000e+00,4.535463606637117162e-04
4.968750000000000000e+00,4.725563795045688363e-04
4.980468750000000000e+00,4.907670129082813493e-04
4.992187500000000000e+00,5.091744725901162791e-04
5.003906250000000000e+00,5.261817741164932609e-04
5.015625000000000000e+00,5.436482265953789450e-04
5.027343750000000000e+00,5.611216281632449817e-04
5.039062500000000000e+00,5.801191757585867550e-04
5.050781250000000000e+00,5.986138047608256969e-04
5.062500000000000000e+00,6.169344617558093422e-04
5.074218750000000000e+00,6.331261740688005207e-04
5.085937500000000000e+00,6.483272351705709254e-04
5.097656250000000000e+00,6.620434668574956593e-04
5.109375000000000000e+00,6.758321912671464522e-04
5.121093750000000000e+00,6.889265912800713156e-04
5.132812500000000000e+00,7.031313955258186544e-04
5.144531250000000000e+00,7.193290352539164281e-04
5.156250000000000000e+00,7.385779603834818604e-04
5.167968750000000000e+00,7.580805791309137495e-04
5.179687500000000000e+00,7.772973931016834018e-04
5.191406250000000000e+00,7.953161515448381068e-04
5.203125000000000000e+00,8.122443570506655613e-04
5.214843750000000000e+00,8.268956900091917282e-04
5.226562500000000000e+00,8.406008508362450412e-04
5.238281250000000000e+00,8.535437153189310514e-04
5.250000000000000000e+00,8.663960981453739524e-04
